nodeID,nodeName,class,gender,classID,genderID
0,28,2BIO1,M,0,1
1,62,2BIO1,F,0,0
2,65,2BIO1,M,0,1
3,72,2BIO1,F,0,0
4,111,2BIO1,F,0,0
5,124,2BIO1,F,0,0
6,145,2BIO1,F,0,0
7,177,2BIO1,F,0,0
8,400,2BIO1,F,0,0
9,428,2BIO1,M,0,1
10,443,2BIO1,F,0,0
11,465,2BIO1,F,0,0
12,471,2BIO1,F,0,0
13,475,2BIO1,M,0,1
14,486,2BIO1,F,0,0
15,487,2BIO1,F,0,0
16,489,2BIO1,F,0,0
17,498,2BIO1,F,0,0
18,527,2BIO1,M,0,1
19,531,2BIO1,F,0,0
20,627,2BIO1,F,0,0
21,637,2BIO1,F,0,0
22,650,2BIO1,F,0,0
23,674,2BIO1,F,0,0
24,677,2BIO1,M,0,1
25,681,2BIO1,F,0,0
26,725,2BIO1,M,0,1
27,809,2BIO1,F,0,0
28,854,2BIO1,F,0,0
29,857,2BIO1,F,0,0
30,859,2BIO1,M,0,1
31,927,2BIO1,F,0,0
32,945,2BIO1,F,0,0
33,954,2BIO1,F,0,0
34,970,2BIO1,F,0,0
35,984,2BIO1,F,0,0
36,991,2BIO1,M,0,1
37,3,2BIO2,M,1,1
38,27,2BIO2,M,1,1
39,46,2BIO2,F,1,0
40,61,2BIO2,F,1,0
41,147,2BIO2,M,1,1
42,160,2BIO2,F,1,0
43,165,2BIO2,F,1,0
44,171,2BIO2,M,1,1
45,173,2BIO2,F,1,0
46,184,2BIO2,M,1,1
47,226,2BIO2,F,1,0
48,239,2BIO2,F,1,0
49,257,2BIO2,F,1,0
50,268,2BIO2,F,1,0
51,295,2BIO2,F,1,0
52,312,2BIO2,F,1,0
53,327,2BIO2,M,1,1
54,339,2BIO2,F,1,0
55,353,2BIO2,M,1,1
56,372,2BIO2,M,1,1
57,407,2BIO2,M,1,1
58,429,2BIO2,M,1,1
59,441,2BIO2,F,1,0
60,464,2BIO2,F,1,0
61,477,2BIO2,M,1,1
62,504,2BIO2,F,1,0
63,544,2BIO2,M,1,1
64,612,2BIO2,F,1,0
65,720,2BIO2,F,1,0
66,763,2BIO2,F,1,0
67,884,2BIO2,F,1,0
68,886,2BIO2,F,1,0
69,979,2BIO2,Unknown,1,2
70,1,2BIO3,M,2,1
71,39,2BIO3,F,2,0
72,55,2BIO3,F,2,0
73,63,2BIO3,F,2,0
74,70,2BIO3,F,2,0
75,101,2BIO3,F,2,0
76,106,2BIO3,F,2,0
77,117,2BIO3,M,2,1
78,119,2BIO3,F,2,0
79,122,2BIO3,F,2,0
80,132,2BIO3,F,2,0
81,170,2BIO3,F,2,0
82,179,2BIO3,F,2,0
83,196,2BIO3,M,2,1
84,199,2BIO3,F,2,0
85,202,2BIO3,F,2,0
86,205,2BIO3,M,2,1
87,240,2BIO3,F,2,0
88,252,2BIO3,F,2,0
89,255,2BIO3,F,2,0
90,265,2BIO3,F,2,0
91,272,2BIO3,F,2,0
92,275,2BIO3,F,2,0
93,346,2BIO3,F,2,0
94,364,2BIO3,F,2,0
95,374,2BIO3,F,2,0
96,425,2BIO3,F,2,0
97,447,2BIO3,F,2,0
98,494,2BIO3,M,2,1
99,545,2BIO3,F,2,0
100,587,2BIO3,F,2,0
101,626,2BIO3,F,2,0
102,649,2BIO3,F,2,0
103,653,2BIO3,M,2,1
104,778,2BIO3,F,2,0
105,779,2BIO3,F,2,0
106,871,2BIO3,M,2,1
107,883,2BIO3,F,2,0
108,894,2BIO3,F,2,0
109,939,2BIO3,M,2,1
110,34,MP,Unknown,3,2
111,38,MP,M,3,1
112,41,MP,Unknown,3,2
113,54,MP,M,3,1
114,151,MP,M,3,1
115,156,MP,F,3,0
116,159,MP,M,3,1
117,201,MP,M,3,1
118,219,MP,M,3,1
119,220,MP,M,3,1
120,243,MP,Unknown,3,2
121,245,MP,F,3,0
122,420,MP,Unknown,3,2
123,454,MP,F,3,0
124,502,MP,F,3,0
125,520,MP,F,3,0
126,525,MP,F,3,0
127,564,MP,M,3,1
128,576,MP,F,3,0
129,577,MP,F,3,0
130,582,MP,M,3,1
131,605,MP,M,3,1
132,634,MP,M,3,1
133,640,MP,M,3,1
134,642,MP,M,3,1
135,658,MP,M,3,1
136,687,MP,M,3,1
137,691,MP,M,3,1
138,694,MP,F,3,0
139,753,MP,F,3,0
140,866,MP,M,3,1
141,869,MP,M,3,1
142,874,MP,F,3,0
143,20,MP*1,M,4,1
144,103,MP*1,M,4,1
145,149,MP*1,M,4,1
146,236,MP*1,M,4,1
147,274,MP*1,M,4,1
148,277,MP*1,F,4,0
149,279,MP*1,M,4,1
150,280,MP*1,F,4,0
151,290,MP*1,M,4,1
152,366,MP*1,M,4,1
153,376,MP*1,M,4,1
154,387,MP*1,M,4,1
155,391,MP*1,F,4,0
156,435,MP*1,M,4,1
157,438,MP*1,M,4,1
158,445,MP*1,M,4,1
159,466,MP*1,M,4,1
160,484,MP*1,M,4,1
161,497,MP*1,M,4,1
162,510,MP*1,M,4,1
163,513,MP*1,M,4,1
164,638,MP*1,M,4,1
165,655,MP*1,M,4,1
166,702,MP*1,M,4,1
167,777,MP*1,F,4,0
168,841,MP*1,M,4,1
169,908,MP*1,F,4,0
170,958,MP*1,F,4,0
171,974,MP*1,M,4,1
172,1067,MP*2,M,5,1
173,1201,MP*2,F,5,0
174,1204,MP*2,M,5,1
175,1212,MP*2,M,5,1
176,1214,MP*2,M,5,1
177,1216,MP*2,M,5,1
178,1218,MP*2,M,5,1
179,1228,MP*2,M,5,1
180,1232,MP*2,M,5,1
181,1237,MP*2,M,5,1
182,1238,MP*2,M,5,1
183,1260,MP*2,M,5,1
184,1295,MP*2,M,5,1
185,1320,MP*2,M,5,1
186,1324,MP*2,M,5,1
187,1332,MP*2,F,5,0
188,1336,MP*2,M,5,1
189,1339,MP*2,M,5,1
190,1342,MP*2,F,5,0
191,1345,MP*2,M,5,1
192,1359,MP*2,M,5,1
193,1366,MP*2,M,5,1
194,1383,MP*2,M,5,1
195,1401,MP*2,M,5,1
196,1412,MP*2,F,5,0
197,1423,MP*2,M,5,1
198,1485,MP*2,M,5,1
199,1512,MP*2,M,5,1
200,1518,MP*2,M,5,1
201,1519,MP*2,M,5,1
202,1543,MP*2,M,5,1
203,1594,MP*2,F,5,0
204,1784,MP*2,M,5,1
205,1805,MP*2,M,5,1
